#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
103000	226.00000000035268	-362485.1878316242	299.73750897913055	1.0556896725894012	8.44	2:15:23
104000	228.00000000036223	-362252.24054011836	298.96593158505107	1.0551602163358011	8.44	2:15:03
105000	230.00000000037178	-362720.79050546174	298.97220929819053	1.0603081020876945	8.44	2:14:42
106000	232.00000000038133	-362482.3789396299	300.2537678004347	1.0630913968174551	8.44	2:14:22
107000	234.00000000039088	-363704.4875143086	296.39295639470527	1.0544270631710626	8.44	2:14:02
108000	236.00000000040043	-364166.62765286065	298.93942504589546	1.06147651644735	8.44	2:13:41
109000	238.00000000040998	-363109.32012835296	298.4805210778023	1.0600666094188733	8.44	2:13:20
110000	240.00000000041953	-363331.38311936415	300.0852063449606	1.0619980263929782	8.45	2:13:00
111000	242.00000000042908	-363031.3517937794	300.9395313889628	1.0569581472434886	8.45	2:12:39
112000	244.00000000043863	-361977.30821471126	301.70387009832353	1.056793601447449	8.45	2:12:18
113000	246.00000000044818	-362391.22695668053	300.77330447243	1.0612807767660026	8.45	2:11:58
114000	248.00000000045773	-362574.9716715101	298.939904302156	1.062609187437965	8.45	2:11:37
115000	250.00000000046728	-362046.77015402704	302.0844021848974	1.0608294583337992	8.45	2:11:17
116000	252.00000000047683	-362243.18826320523	296.7959931990968	1.0597592488301817	8.45	2:10:57
117000	254.00000000048638	-361524.0354292057	298.81086351859113	1.05797487510666	8.45	2:10:36
118000	256.0000000004959	-362047.2861840646	298.2326869707225	1.0608953041915146	8.45	2:10:16
119000	258.00000000050545	-362055.4423421202	299.9280879005322	1.0620324683609654	8.44	2:09:56
120000	260.000000000515	-362114.1250424603	300.8229271462946	1.055281795103306	8.44	2:09:36
121000	262.00000000052455	-362738.1652406322	301.2600827502788	1.056376188949582	8.44	2:09:15
122000	264.0000000005341	-364073.6916251839	299.47670989771245	1.0618448741731001	8.44	2:08:55
123000	266.00000000054365	-363099.05216334155	303.01690838304927	1.0576344114081933	8.44	2:08:34
124000	268.0000000005532	-363278.95672770863	302.1253042093613	1.0599118689076572	8.44	2:08:13
125000	270.00000000056275	-363443.740297499	299.23314475532237	1.0636260908106565	8.44	2:07:53
126000	272.0000000005723	-363618.2142167763	299.5548752884373	1.0651881052667347	8.44	2:07:33
127000	274.00000000058185	-364222.722921378	300.47486208907395	1.061133006640856	8.44	2:07:13
128000	276.0000000005914	-362388.48224725993	300.6210642127862	1.060241861366645	8.44	2:06:52
